stem,snippet_id,compound,class,dose,route,administered,context
harari2025,1,psilocybin,psychedelic,5 mg/kg,,True,"reated with 5/uni00A0mg/kg psilocybin, followed by placing in light (psilocybin-light group), mice treated with 5/uni00A"
havel2024,1,ketamine,anesthetic_or_analgesic,90 mg/kg,i.p.,True,catheters were inserted into the right jugular vein following administration of ketamine (90 mg/kg; i.p.) and xylazine (
havel2024,1,xylazine,anesthetic_or_analgesic,5 mg/kg,,True,catheters were inserted into the right jugular vein following administration of ketamine (90 mg/kg; i.p.) and xylazine (
havel2024,4,aticaprant,antagonist,1 mg/kg,,False,"in levels in the mPFC and VTA after 5 days (OXA5). Pre-treatment of rats with KOR selective antagonist aticaprant (ATI, "
havel2024,12,oxa-noribogaine,model_drug,5 mg/kg,,False,"gentle physical stimulation, but appear sedated when left undisturbed). At nearly maximal analgesic doses (e.g., ED80, 5"
havel2024,15,oxa-noribogaine,model_drug,5.4 mg/kg,,True,"/uniFB01 cation of OF test (ED80 doses) for oxa-noribogaine (5.4 mg/kg, both male and female) and epi-oxa-noribogaine (5"
havel2024,15,epi-oxa-noribogaine,model_drug,5 mg/kg,,True,"/uniFB01 cation of OF test (ED80 doses) for oxa-noribogaine (5.4 mg/kg, both male and female) and epi-oxa-noribogaine (5"
havel2024,16,epi-oxa-noribogaine,model_drug,5.2 mg/kg,,True,"noribogaine (5.2 mg/kg), data are normalized to initial locomotion of vehicle group. h Sedation of epi-oxa-noribogaine ("
havel2024,18,cocaine,comparator,10 mg/kg,,True,"ribogaine ( P =0.4531, P =0.5994, respectively), in contrast to cocaine (10 mg/kg: P = 0.0029 and 0.0013) and morphine ("
havel2024,19,morphine,comparator,20 mg/kg,,True,ne (20 mg/kg: P =0.0010 and 0.0153). k Pharmacokinetic distribution of oxa-noribogaine in mice plasma and brain tissue (
havel2024,24,oxa-noribogaine,model_drug,3 mg/kg,,True,"g/infusion, Fig. 5e). Speci /uniFB01 cally, we examined two oxa-noribogaine doses (in approximate half-log steps, 3 and "
havel2024,24,oxa-noribogaine,model_drug,10 mg/kg,,True,"g/infusion, Fig. 5e). Speci /uniFB01 cally, we examined two oxa-noribogaine doses (in approximate half-log steps, 3 and "
havel2024,25,oxa-noribogaine,model_drug,1 mg/kg,,True,"which responses were comparabletothepre-extinctionlevel in the vehicle cohort (Fig. 6a). In contrast, oxa-noribogaine (1"
havel2024,29,oxa-noribogaine,model_drug,40 mg/kg,,True,f opioid use (male rats used in this study). b Oxa-noribogaine (40 mg/kg) is more ef /uniFB01 cacious than noribogaine (
havel2024,29,noribogaine,comparator,40 mg/kg,,True,f opioid use (male rats used in this study). b Oxa-noribogaine (40 mg/kg) is more ef /uniFB01 cacious than noribogaine (
havel2024,30,oxa-noribogaine,model_drug,40 mg/kg,,True,"(40 mg/kg) in suppressing morphine self-administration ( P =0.0001, seven sessions). One injection of oxa-noribogaine (4"
havel2024,31,oxa-noribogaine,model_drug,40 mg/kg,,True,take (natural reward) is reduced following administration of 40 mg/kg but not 10 mg/kg ( P <0.0001). The moderate dose (
havel2024,31,oxa-noribogaine,model_drug,10 mg/kg,,True,take (natural reward) is reduced following administration of 40 mg/kg but not 10 mg/kg ( P <0.0001). The moderate dose (
havel2024,32,oxanoribogaine,model_drug,10 mg/kg,,True,oderate dose (10 mg/kg) has a marginal effect on food intake (all study groups n =7). d Oneinjection of oxanoribogaine (
havel2024,33,oxanoribogaine,model_drug,3 mg/kg,,True,from Fig. 5b). e Visualization of acute (Day 1) and post-acute (Day 5) dose-dependent effects of oxanoribogaine (3 and 1
havel2024,33,oxanoribogaine,model_drug,10 mg/kg,,True,from Fig. 5b). e Visualization of acute (Day 1) and post-acute (Day 5) dose-dependent effects of oxanoribogaine (3 and 1
havel2024,35,oxa-noribogaine,model_drug,3 mg/kg,,True,"ly decreases self-administration of morphine 20 µ g/inf  picture-6.png  (oxa-noribogaine doses, 3 mg/kg: P = 0.0419 and "
havel2024,36,oxa-noribogaine,model_drug,10 mg/kg,,True,"rphine 20 µ g/inf  picture-6.png  (oxa-noribogaine doses, 3 mg/kg: P = 0.0419 and 10 mg/kg: P <0.0001) and 40 µ g/ inf ("
havel2024,38,Oxa-noribogaine,model_drug,3 mg/kg,,True,"continued to be signi /uniFB01 cantly decreased on Day 5 for 20 µ g/inf (Oxa-noribogaine doses, 3 mg/kg: P =0.0243 and 1"
havel2024,38,Oxa-noribogaine,model_drug,10 mg/kg,,True,"continued to be signi /uniFB01 cantly decreased on Day 5 for 20 µ g/inf (Oxa-noribogaine doses, 3 mg/kg: P =0.0243 and 1"
havel2024,39,oxanoribogaine,model_drug,3 mg/kg,,True,"rallel cohort received injections of vehicle ( n =5)solution. g Repeated escalating dosing of oxanoribogaine (3, 10 and "
havel2024,39,oxanoribogaine,model_drug,10 mg/kg,,True,"rallel cohort received injections of vehicle ( n =5)solution. g Repeated escalating dosing of oxanoribogaine (3, 10 and "
havel2024,39,oxanoribogaine,model_drug,30 mg/kg,,True,"rallel cohort received injections of vehicle ( n =5)solution. g Repeated escalating dosing of oxanoribogaine (3, 10 and "
havel2024,40,oxanoribogaine,model_drug,3 mg/kg,,True,"ing dosing of oxanoribogaine (3, 10 and 30 mg/kg; n =11) enable acute suppression of heroin (4.5 µ g/ infusion) intake ("
havel2024,40,oxanoribogaine,model_drug,10 mg/kg,,True,"ing dosing of oxanoribogaine (3, 10 and 30 mg/kg; n =11) enable acute suppression of heroin (4.5 µ g/ infusion) intake ("
havel2024,40,oxanoribogaine,model_drug,30 mg/kg,,True,"ing dosing of oxanoribogaine (3, 10 and 30 mg/kg; n =11) enable acute suppression of heroin (4.5 µ g/ infusion) intake ("
havel2024,44,oxa-noribogaine,model_drug,10 mg/kg,s.c.,True,"min, naltrindole 45 min and aticaprant 20 min. Mice were then administered oxa-noribogaine s.c. prepared at the dose of "
havel2024,45,saline,vehicle,0.85%,s.c.,True,"transferred to the testing room 30 min prior to experimentation. Mice were administered 0.85% saline (s.c.), imipramine "
havel2024,46,imipramine,comparator,15 mg/kg,i.p.,True,"prior to experimentation. Mice were administered 0.85% saline (s.c.), imipramine 15 mg/kg (i.p.), oxa-noribogaine ED80 ("
havel2024,47,oxa-noribogaine,model_drug,5.4 mg/kg,,True,"tion. Mice were administered 0.85% saline (s.c.), imipramine 15 mg/kg (i.p.), oxa-noribogaine ED80 (5.4 mg/kg) or >ED95 "
havel2024,49,cocaine,comparator,10 mg/kg,i.p.,True,"the /uniFB01 rst, third and /uniFB01 fth days of conditioning, mice received either cocaine (10 mg/kg, i.p.), morphine ("
havel2024,49,morphine,comparator,20 mg/kg,i.p.,True,"the /uniFB01 rst, third and /uniFB01 fth days of conditioning, mice received either cocaine (10 mg/kg, i.p.), morphine ("
havel2024,50,oxa-noribogaine,model_drug,10 mg/kg,i.p.,True,"days of conditioning, mice received either cocaine (10 mg/kg, i.p.), morphine (20 mg/kg, i.p.), oxa-noribogaine (10 or 4"
havel2024,50,oxa-noribogaine,model_drug,40 mg/kg,i.p.,True,"days of conditioning, mice received either cocaine (10 mg/kg, i.p.), morphine (20 mg/kg, i.p.), oxa-noribogaine (10 or 4"
havel2024,51,epi-oxa-noribogaine,model_drug,10 mg/kg,i.p.,True,"aine (10 mg/kg, i.p.), morphine (20 mg/kg, i.p.), oxa-noribogaine (10 or 40 mg/kg, i.p.) or epi-oxa-noribogaine (10 and "
havel2024,51,epi-oxa-noribogaine,model_drug,40 mg/kg,i.p.,True,"aine (10 mg/kg, i.p.), morphine (20 mg/kg, i.p.), oxa-noribogaine (10 or 40 mg/kg, i.p.) or epi-oxa-noribogaine (10 and "
havel2024,52,oxanoribogaine,model_drug,3 mg/kg,,True,"Four days following vehicle administration, rats were administered oxanoribogaine in an ascending dose manner (3, 10 or "
havel2024,52,oxanoribogaine,model_drug,10 mg/kg,,True,"Four days following vehicle administration, rats were administered oxanoribogaine in an ascending dose manner (3, 10 or "
havel2024,52,oxanoribogaine,model_drug,40 mg/kg,,True,"Four days following vehicle administration, rats were administered oxanoribogaine in an ascending dose manner (3, 10 or "
havel2024,53,vehicle,vehicle,2 mL/kg,i.p.,True,"nction session, each group was divided into two subgroups to receive either vehicle (2 mL/kg, i.p.) or oxa-noribogaine ("
havel2024,53,oxa-noribogaine,model_drug,10 mg/kg,,True,"nction session, each group was divided into two subgroups to receive either vehicle (2 mL/kg, i.p.) or oxa-noribogaine ("
havel2024,54,oxanoribogaine,model_drug,10 mg/kg,i.p.,True,"sequent experimental session. Three days following vehicle administration, rats were administered oxanoribogaine (10 or "
havel2024,54,oxanoribogaine,model_drug,40 mg/kg,i.p.,True,"sequent experimental session. Three days following vehicle administration, rats were administered oxanoribogaine (10 or "
havel2024,55,oxanoribogaine,model_drug,10 mg/kg,i.p.,True,"ys following vehicle administration, rats were administered oxanoribogaine (10 or 40 mg/kg, i.p.), epi-oxa-noribogaine ("
havel2024,55,oxanoribogaine,model_drug,40 mg/kg,i.p.,True,"ys following vehicle administration, rats were administered oxanoribogaine (10 or 40 mg/kg, i.p.), epi-oxa-noribogaine ("
havel2024,55,epi-oxa-noribogaine,model_drug,40 mg/kg,i.p.,True,"ys following vehicle administration, rats were administered oxanoribogaine (10 or 40 mg/kg, i.p.), epi-oxa-noribogaine ("
havel2024,56,oxanoribogaine,model_drug,10 mg/kg,i.p.,True,"ion, rats were administered oxanoribogaine (10 or 40 mg/kg, i.p.), epi-oxa-noribogaine (40 mg/kg, i.p.) or noribogaine ("
havel2024,56,oxanoribogaine,model_drug,40 mg/kg,i.p.,True,"ion, rats were administered oxanoribogaine (10 or 40 mg/kg, i.p.), epi-oxa-noribogaine (40 mg/kg, i.p.) or noribogaine ("
havel2024,56,epi-oxa-noribogaine,model_drug,40 mg/kg,i.p.,True,"ion, rats were administered oxanoribogaine (10 or 40 mg/kg, i.p.), epi-oxa-noribogaine (40 mg/kg, i.p.) or noribogaine ("
havel2024,56,noribogaine,comparator,10 mg/kg,i.p.,True,"ion, rats were administered oxanoribogaine (10 or 40 mg/kg, i.p.), epi-oxa-noribogaine (40 mg/kg, i.p.) or noribogaine ("
havel2024,56,noribogaine,comparator,40 mg/kg,i.p.,True,"ion, rats were administered oxanoribogaine (10 or 40 mg/kg, i.p.), epi-oxa-noribogaine (40 mg/kg, i.p.) or noribogaine ("
havel2024,58,oxa-noribogaine,model_drug,10 mg/kg,i.p.,True,"0 pellets was delivered. Once responding stabilized, subjects were assigned randomly to receive oxa-noribogaine (10 and "
havel2024,58,oxa-noribogaine,model_drug,40 mg/kg,i.p.,True,"0 pellets was delivered. Once responding stabilized, subjects were assigned randomly to receive oxa-noribogaine (10 and "
havel2024,59,oxa-noribogaine,model_drug,10 mg/kg,i.p.,True,"ng stabilized, subjects were assigned randomly to receive oxa-noribogaine (10 and 40 mg/kg, i.p.), epi-oxa-noribogaine ("
havel2024,59,oxa-noribogaine,model_drug,40 mg/kg,i.p.,True,"ng stabilized, subjects were assigned randomly to receive oxa-noribogaine (10 and 40 mg/kg, i.p.), epi-oxa-noribogaine ("
havel2024,59,epi-oxa-noribogaine,model_drug,40 mg/kg,i.p.,True,"ng stabilized, subjects were assigned randomly to receive oxa-noribogaine (10 and 40 mg/kg, i.p.), epi-oxa-noribogaine ("
havel2024,60,oxa-noribogaine,model_drug,10 mg/kg,i.p.,True,"randomly to receive oxa-noribogaine (10 and 40 mg/kg, i.p.), epi-oxa-noribogaine (40 mg/kg, i.p.), noribogaine (10 and 4"
havel2024,60,oxa-noribogaine,model_drug,40 mg/kg,i.p.,True,"randomly to receive oxa-noribogaine (10 and 40 mg/kg, i.p.), epi-oxa-noribogaine (40 mg/kg, i.p.), noribogaine (10 and 4"
havel2024,60,epi-oxa-noribogaine,model_drug,40 mg/kg,i.p.,True,"randomly to receive oxa-noribogaine (10 and 40 mg/kg, i.p.), epi-oxa-noribogaine (40 mg/kg, i.p.), noribogaine (10 and 4"
havel2024,60,noribogaine,comparator,10 mg/kg,i.p.,True,"randomly to receive oxa-noribogaine (10 and 40 mg/kg, i.p.), epi-oxa-noribogaine (40 mg/kg, i.p.), noribogaine (10 and 4"
havel2024,60,noribogaine,comparator,40 mg/kg,i.p.,True,"randomly to receive oxa-noribogaine (10 and 40 mg/kg, i.p.), epi-oxa-noribogaine (40 mg/kg, i.p.), noribogaine (10 and 4"
havel2024,61,oxa-noribogaine,model_drug,40 mg/kg,i.p.,True,comparison.  GDNF expression studies . Male Fisher F344 rats were assigned to groups and administered oxa-noribogaine (4
havel2024,62,oxa-noribogaine,model_drug,40 mg/kg,i.p.,True,udies . Male Fisher F344 rats were assigned to groups and administered oxa-noribogaine (40 mg/kg; i.p.) or noribogaine (
havel2024,62,noribogaine,comparator,40 mg/kg,,True,udies . Male Fisher F344 rats were assigned to groups and administered oxa-noribogaine (40 mg/kg; i.p.) or noribogaine (
havel2024,64,oxa-noribogaine,model_drug,30 mg/kg,,True,removal rats were administered either vehicle (2 molar equivalents acetic acid in saline) or oxa-noribogaine solution (3
havel2024,65,"U50,488",comparator,3.0 mg/kg,,False,"ssay (thermal nociception), with comparable potency to the standard KOR agonist, U50,488 (Fig. 3a, ED50(oxa-noriboga) = "
havel2024,66,oxa-noribogaine,model_drug,3.0 mg/kg,,False,"), with comparable potency to the standard KOR agonist, U50,488 (Fig. 3a, ED50(oxa-noriboga) = 3.0 mg/kg vs ED50(U50) = "
havel2024,66,"U50,488",comparator,3.0 mg/kg,,False,"), with comparable potency to the standard KOR agonist, U50,488 (Fig. 3a, ED50(oxa-noriboga) = 3.0 mg/kg vs ED50(U50) = "
havel2024,68,oxa-noribogaine,model_drug,2.3 mg/kg,,False,"tantially attenuated, with a one-log-unit right shift in the dose response curve (ED50(WT) = 2.3 mg/kg vs ED50(KOR-KO) ="
havel2024,70,oxa-noribogaine,model_drug,1.3 mg/kg,,False,"marginal rightward shift was observed in MOR-KO mice (Fig. 3c, ED50(WT) = 1.3 mg/kg, ED50(KOR-KO) =n.a., ED50(MOR-KO) =2"
havel2024,70,epi-oxa-noribogaine,model_drug,2 mg/kg,,False,"marginal rightward shift was observed in MOR-KO mice (Fig. 3c, ED50(WT) = 1.3 mg/kg, ED50(KOR-KO) =n.a., ED50(MOR-KO) =2"
havel2024,72,epi-oxa,model_drug,1.9 mg/kg,,False,"e female mice, epi-oxa exhibited a rightward shift in potency compared to males (ED50(male) = 1.9 mg/kg vs ED50female) ="
havel2024,72,epi-oxa,model_drug,9.7 mg/kg,,False,"e female mice, epi-oxa exhibited a rightward shift in potency compared to males (ED50(male) = 1.9 mg/kg vs ED50female) ="
havel2024,73,"U50,488",comparator,2.2 mg/kg,,False,"in potency compared to males (ED50(male) = 1.9 mg/kg vs ED50female) =9.7mg/kg,Fig.3a, d), as did U50,488 (ED50(male) = 2"
havel2024,74,"U50,488",comparator,2.2 mg/kg,,False,"es (ED50(male) = 1.9 mg/kg vs ED50female) =9.7mg/kg,Fig.3a, d), as did U50,488 (ED50(male) = 2.2 mg/kg vs ED50female) = "
havel2024,75,oxa-noribogaine,model_drug,3.0 mg/kg,,False,ine showed a small rightward shift in the tail/uniFB02 ick assay in one cohort (ED50(male) = 3.0 mg/kg to ED50(female) =
havel2024,79,oxanoribogaine,model_drug,10 mg/kg,,True,"and 30 mg/kg; n =11) enable acute suppression of heroin (4.5 µ g/ infusion) intake (10 mg/kg, session 8: P =0.0012 and 3"
havel2024,79,oxanoribogaine,model_drug,30 mg/kg,,True,"and 30 mg/kg; n =11) enable acute suppression of heroin (4.5 µ g/ infusion) intake (10 mg/kg, session 8: P =0.0012 and 3"
havel2024,80,acetic acid,vehicle,20 mg/mL,,False,"ts of acetic acid in water) at a concentration of (20 mg/mL) to allow for injection volume of (2 mL/kg). For example, a "
havel2024,81,oxa-noribogaine,model_drug,1 mg/kg,,True,for acclimation. The body weight of each mouse and base tail/uniFB02 ick value were recorded. Mice were administered a 1
havel2024,83,oxa-noribogaine,model_drug,10 mg/kg,,True,"llowed to rest for 30 min, followed by another tail/uniFB02 ick measurement. This process was repeated for doses 10 and "
havel2024,84,cyprodime,antagonist,10 mg/kg,s.c.,True,ice were administered the selected antagonist s.c. Antagonists were prepared and used at the following doses: cyprodime 
havel2024,85,naloxone,antagonist,10 mg/kg,s.c.,True,"ed the selected antagonist s.c. Antagonists were prepared and used at the following doses: cyprodime 10 mg/kg, naloxone "
havel2024,86,naloxone,antagonist,10 mg/kg,s.c.,True,"agonist s.c. Antagonists were prepared and used at the following doses: cyprodime 10 mg/kg, naloxone 10 mg/kg, naloxone "
havel2024,86,naloxone,antagonist,1 mg/kg,s.c.,True,"agonist s.c. Antagonists were prepared and used at the following doses: cyprodime 10 mg/kg, naloxone 10 mg/kg, naloxone "
havel2024,87,naltrindole,antagonist,0.5 mg/kg,s.c.,True,"sts were prepared and used at the following doses: cyprodime 10 mg/kg, naloxone 10 mg/kg, naloxone 1 mg/kg, naltrindole "
havel2024,88,aticaprant,antagonist,0.5 mg/kg,s.c.,True,"at the following doses: cyprodime 10 mg/kg, naloxone 10 mg/kg, naloxone 1 mg/kg, naltrindole 0.5 mg/kg, and aticaprant 0"
havel2024,89,propofol,anesthetic_or_analgesic,1.7 U/ml,,True,/v) with  1.7 U/ml of heparin equivalent to 0.34 U heparin/infusion while in the home cage only. Infusions of propofol (
havel2024,90,aticaprant,antagonist,1 mg/kg,,True,"stered either vehicle (7% (v/v) Tween 80, 2 molar equivalents glacial acetic acid in physiologic saline) or aticaprant ("
havel2024,92,oxa-noribogaine,model_drug,10 mg/kg,s.c.,True,"y (3 animals per each time point). Mice were administered subcutaneously (10 mg/kg dose, s.c.), rats intraperitoneally ("
havel2024,92,oxa-noribogaine,model_drug,10 mg/kg,i.p.,True,"y (3 animals per each time point). Mice were administered subcutaneously (10 mg/kg dose, s.c.), rats intraperitoneally ("
havel2024,94,oxa-noribogaine,model_drug,10 mg/kg,s.c.,False,"based on plasma protein and brain tissue binding (Cmax(brain) = 166 nM, 10 mg/kg, s.c.). Assuming linearity of PK below "
havel2024,95,oxa-noribogaine,model_drug,10 mg/kg,s.c.,False,"(Cmax(brain) = 166 nM, 10 mg/kg, s.c.). Assuming linearity of PK below 10 mg/kg, Cmax(brain) at an ED50 analgesic dose ("
hazama2014,0,DOI,psychedelic,1 mg/kg,,False,cated doses of DOI or saline. Head-twitch responses were counted over a 60-min period. (B) Time course of the effect of 
hazama2014,1,DOI,psychedelic,1.0 mg/kg,i.p.,True,ods described previously [17]. Animals were placed in the startle chamber 5 min after intraperitoneal injection of DOI (
hazama2014,2,DOI,psychedelic,1 mg/kg,,True,n PPI (A) and acoustic startle response (B) were examined in PACAP + / + ( + / + ) and PACAP + / 2 ( + / 2 ) mice. DOI (
hazama2014,3,DOI,psychedelic,3 mg/kg,,True,"D), BLA (E) and PVN (F) were determined in PACAP + / + ( + / + ) and PACAP + / 2 ( + / 2 ) mice after injection of DOI ("
hazama2014,4,DOI,psychedelic,50 mg/kg,,True,"injected with DOI and placed back into their home cages. Two hours after injection, mice were deeply anesthetized with 5"
hazama2014,5,DOI,psychedelic,1 mg/kg,,True,brain regions in PACAP + / + mice on the C57BL/6J 6 129S6/SvEvTac hybrid background.  | Region    | Saline      | DOI (1
hazama2014,6,DOI,psychedelic,1.0 mg/kg,,True,PACAP + / 2 mice occurred significantly more frequently than in their PACAP + / + littermates with doses of DOI (1.0 or 
hazama2014,7,DOI,psychedelic,1.0 mg/kg,,True,"nt interaction between genotype and treatment [F(4, 28) = 14.1, p , 0.001]. The maximal head-twitch response induced by "
hazama2014,8,DOI,psychedelic,1 mg/kg,,True,There was no difference in PPI levels between the two genotypes of mice following saline injection (Fig. 2A). Although 1
hazama2014,9,DOI,psychedelic,1 mg/kg,,True,"significant dB 6 genotype 6 treatment interaction [F(2, 66) = 0.719, p =0.49]. Multiple comparisons revealed that DOI (1"
hazama2014,10,DOI,psychedelic,0.5 mg/kg,,True,"We previously reported that PACAP 2 / 2 mice exhibit an increased head-twitch response to an intermediate dose of DOI, 0"
henriques2021,0,ethanol,comparator,1.8 g/kg,,False,al procedure (protocol #006/2017).  ## Drugs  Absolute ethanol (Merck ® ) was diluted in distilled water to the dose of 
henriques2021,1,ethanol,comparator,1.8 g/kg,i.p.,True,"y-four hours after the post-treatment test, half of the animals in Experiment 2 received an i. p. injection of ethanol ("
henriques2021,2,ethanol,comparator,1.8 g/kg,i.p.,True,"-four hours after the post-treatment test, half of the animals in Experiment 2  received an i. p. injection of ethanol ("
henriques2021,3,IBO,other,10 mg/kg,,True,"e whether IBO or ethanol would induce CPP, mice were submitted to the habituation, pre-conditioning test and IBO (10 or "
henriques2021,3,IBO,other,30 mg/kg,,True,"e whether IBO or ethanol would induce CPP, mice were submitted to the habituation, pre-conditioning test and IBO (10 or "
henriques2021,3,ethanol,comparator,30 mg/kg,,True,"e whether IBO or ethanol would induce CPP, mice were submitted to the habituation, pre-conditioning test and IBO (10 or "
henriques2021,4,IBO,other,10 mg/kg,,True,"habituation, pre-conditioning test and IBO (10 or 30 mg/kg, n /equals 8 per group, IBO10 and IBO30 groups) or ethanol (1"
henriques2021,4,IBO,other,30 mg/kg,,True,"habituation, pre-conditioning test and IBO (10 or 30 mg/kg, n /equals 8 per group, IBO10 and IBO30 groups) or ethanol (1"
henriques2021,4,ethanol,comparator,1.8 g/kg,,True,"habituation, pre-conditioning test and IBO (10 or 30 mg/kg, n /equals 8 per group, IBO10 and IBO30 groups) or ethanol (1"
henriques2021,5,ethanol,comparator,1.8 g/kg,,True,"nduced Conditioned Place Preference  Seventy-two mice were submitted to the habituation, preconditioning test, ethanol ("
henriques2021,6,saline,vehicle,1.8 g/kg,,True,"ontext-paired RxT: context-paired re-exposure, in which animals received an injection of saline (SAL) or ethanol (EtOH, "
henriques2021,6,ethanol,comparator,1.8 g/kg,,True,"ontext-paired RxT: context-paired re-exposure, in which animals received an injection of saline (SAL) or ethanol (EtOH, "
henriques2021,7,ethanol,comparator,1.8 g/kg,,True,"est. Priming Injection RxT: priming injection reexposure test, in which animals received an injection of ethanol (EtOH, "
henriques2021,8,ethanol,comparator,1.8 g/kg,i.p.,True,st. All animals that were submitted to this phase (including the SAL-SAL group) received an i. p. injection of ethanol (
henriques2021,9,ethanol,comparator,1.8 g/kg,,True,"context-paired re-exposure, during which all animals previously conditioned with ethanol received an ethanol injection ("
henriques2021,10,IBO,other,10 mg/kg,,True,s in the SAL-SAL group while under the effects of ethanol ( p /equals 0.012). Treatment with IBO at the doses of 10 and 
henriques2021,10,IBO,other,30 mg/kg,,True,s in the SAL-SAL group while under the effects of ethanol ( p /equals 0.012). Treatment with IBO at the doses of 10 and 
henriques2021,11,IBO,other,10 mg/kg,,True,d CPP score compared to the animals in the SAL-SAL group ( p /equals 0.0078). Treatment with IBO at the doses of 10 and 
henriques2021,11,IBO,other,30 mg/kg,,True,d CPP score compared to the animals in the SAL-SAL group ( p /equals 0.0078). Treatment with IBO at the doses of 10 and 
henriques2021,12,saline,vehicle,1.8 g/kg,i.p.,True,"st-conditioning test (postCT, n /equals 24 per group) following conditioning with saline (SAL, i. p.) or ethanol (EtOH, "
henriques2021,12,ethanol,comparator,1.8 g/kg,,True,"st-conditioning test (postCT, n /equals 24 per group) following conditioning with saline (SAL, i. p.) or ethanol (EtOH, "
henriques2021,13,ethanol,comparator,1.8 g/kg,,True,"PP score during a priming injection re-exposure test in which all groups received a priming injection of ethanol (EtOH, "
henriques2021,14,saline,vehicle,1.8 g/kg,,True,"t-paired re-exposure, in which subjects received an injection of saline (SAL-SAL group, n /equals 16) or ethanol (EtOH, "
henriques2021,14,ethanol,comparator,1.8 g/kg,,True,"t-paired re-exposure, in which subjects received an injection of saline (SAL-SAL group, n /equals 16) or ethanol (EtOH, "
henriques2021,15,ethanol,comparator,1.8 g/kg,,False,repeated treatment with ibogaine on the reinstatement of CPP to ethanol in male mice. The rewarding effects of ethanol (
henriques2021,15,ibogaine,other,1.8 g/kg,,False,repeated treatment with ibogaine on the reinstatement of CPP to ethanol in male mice. The rewarding effects of ethanol (
henriques2021,16,ethanol,comparator,1.8 g/kg,i.p.,True,"the reinstatement of CPP to ethanol in male mice. The rewarding effects of ethanol (1.8 g/kg, i. p.) or ibogaine (10 or "
henriques2021,16,ibogaine,other,10 mg/kg,,True,"the reinstatement of CPP to ethanol in male mice. The rewarding effects of ethanol (1.8 g/kg, i. p.) or ibogaine (10 or "
henriques2021,16,ibogaine,other,30 mg/kg,,True,"the reinstatement of CPP to ethanol in male mice. The rewarding effects of ethanol (1.8 g/kg, i. p.) or ibogaine (10 or "
henriques2021,17,ibogaine,other,10 mg/kg,,True,"were investigated using the CPP model. Furthermore, we evaluated the effects of repeated treatment with ibogaine (10 or "
henriques2021,17,ibogaine,other,30 mg/kg,,True,"were investigated using the CPP model. Furthermore, we evaluated the effects of repeated treatment with ibogaine (10 or "
henriques2021,18,saline,vehicle,1.8 g/kg,,True,"). (A) Experiment 1 (B) Experiment 2. PreCT: drug-free preconditioning test. Conditioning: saline (SAL), ethanol (EtOH, "
henriques2021,18,ethanol,comparator,1.8 g/kg,,True,"). (A) Experiment 1 (B) Experiment 2. PreCT: drug-free preconditioning test. Conditioning: saline (SAL), ethanol (EtOH, "
henriques2021,19,saline,vehicle,30 mg/kg,,True,"2. PreCT: drug-free preconditioning test. Conditioning: saline (SAL), ethanol (EtOH, 1.8 g/kg) or ibogaine (IBO, 10 or 3"
henriques2021,19,ethanol,comparator,1.8 g/kg,,True,"2. PreCT: drug-free preconditioning test. Conditioning: saline (SAL), ethanol (EtOH, 1.8 g/kg) or ibogaine (IBO, 10 or 3"
henriques2021,19,ibogaine,other,10 mg/kg,,True,"2. PreCT: drug-free preconditioning test. Conditioning: saline (SAL), ethanol (EtOH, 1.8 g/kg) or ibogaine (IBO, 10 or 3"
henriques2021,19,ibogaine,other,30 mg/kg,,True,"2. PreCT: drug-free preconditioning test. Conditioning: saline (SAL), ethanol (EtOH, 1.8 g/kg) or ibogaine (IBO, 10 or 3"
henriques2021,20,saline,vehicle,30 mg/kg,,True,"e conditioning. PostCT: drugfree post-conditioning test. Treatment: saline (SAL), vehicle (VEH) or ibogaine (IBO, 10 or "
henriques2021,20,vehicle,vehicle,30 mg/kg,,True,"e conditioning. PostCT: drugfree post-conditioning test. Treatment: saline (SAL), vehicle (VEH) or ibogaine (IBO, 10 or "
henriques2021,20,ibogaine,other,10 mg/kg,,True,"e conditioning. PostCT: drugfree post-conditioning test. Treatment: saline (SAL), vehicle (VEH) or ibogaine (IBO, 10 or "
henriques2021,20,ibogaine,other,30 mg/kg,,True,"e conditioning. PostCT: drugfree post-conditioning test. Treatment: saline (SAL), vehicle (VEH) or ibogaine (IBO, 10 or "
henriques2021,21,saline,vehicle,1.8 g/kg,i.p.,True,"statistically signi /uniFB01 cant effect.  FIGURE 3 | Effects of conditioning with saline (SAL, i. p.), ethanol (EtOH, 1"
henriques2021,21,ethanol,comparator,1.8 g/kg,,True,"statistically signi /uniFB01 cant effect.  FIGURE 3 | Effects of conditioning with saline (SAL, i. p.), ethanol (EtOH, 1"
henriques2021,21,ibogaine,other,1.8 g/kg,,True,"statistically signi /uniFB01 cant effect.  FIGURE 3 | Effects of conditioning with saline (SAL, i. p.), ethanol (EtOH, 1"
henriques2021,22,saline,vehicle,30 mg/kg,i.p.,True,".  FIGURE 3 | Effects of conditioning with saline (SAL, i. p.), ethanol (EtOH, 1.8 g/kg, i. p.) or ibogaine (IBO, 10 or "
henriques2021,22,ethanol,comparator,1.8 g/kg,i.p.,True,".  FIGURE 3 | Effects of conditioning with saline (SAL, i. p.), ethanol (EtOH, 1.8 g/kg, i. p.) or ibogaine (IBO, 10 or "
